PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Manu Ginobili,SAS,None,Argentina,-58.38,-34.6,1999,2,57
Nicolas Brussino,ATL,None,Argentina,-58.38,-34.6,Undrafted,Undrafted,Undrafted
Marcin Gortat,WAS,None,Poland,21.017,52.237,2005,2,57
Nikola Mirotic,NOP,None,Montenegro,19.26,42.44,2011,1,23
Nikola Vucevic,ORL,Southern California,Montenegro,19.26,42.44,2011,1,16
Omari Johnson,MEM,Oregon State,Jamaica,-77.89,18.47,Undrafted,Undrafted,Undrafted
Omri Casspi,GSW,None,Israel,35.21,31.77,2009,1,23
Salah Mejri,DAL,None,Tunisia,10.18,36.80,Undrafted,Undrafted,Undrafted
Serge Ibaka,TOR,None,Republic of the Congo,15.82,-0.228,2008,1,24
Skal Labissiere,SAC,Kentucky,Haiti,-72.333,18.53,2016,1,28
Steven Adams,OKC,Pittsburgh,New Zealand,174.77,-41.27,2013,1,12
Thon Maker,MIL,None,South Sudan,31.57,4.85,2016,1,10
Timofey Mozgov,BKN,None,Russia,55.75,37.61,Undrafted,Undrafted,Undrafted
Tomas Satoransky,WAS,None,Czech Republic,14.418,50.0,2012,2,32
Zaza Pachulia,GSW,None,Georgia,44.78,41.71,2003,2,42
Zhou Qi,HOU,None,China,116.38,39.916,2016,2,43
